COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio,GDP per person employed (constant 2005-2023 PPP $),eco_feature1,Sigmoid GDP per person employed (constant 2005-2023 PPP $),personality_index,Color_Flag,Annotation
Canada,44437,0.0,0.8347553608742825,0.8347553608742825,56.64358082338872,0.0425955963920373,1.0,0.0295560349571899,0.0369108081306867,0.3031163389051068,11.277141703996246,1.704609856701087,0.5236888569319313,0.3030991095757041,0.6763172416700195,6.0,2.399759710273832,105057.532,11.562263402893745,1.0,0.3030991095757041,No,
Australia,25610,0.0,0.787513414867292,0.787513414867292,56.16520832871272,0.0423403155615804,1.0,0.0329884279309143,0.036085099315306,0.3012655997519554,13.15186200347734,1.7579171060781276,0.5430424544146956,0.3010347836015707,0.6867701716073851,6.0,2.485464091216668,108183.9358,11.59158816671961,1.0,0.3010347836015707,No,
Indonesia,20774,0.0,0.8308156641739839,0.8308156641739839,39.7773096119126,0.0305386248761594,1.0,0.028380564560596,0.0251332119215754,0.2716419043534518,11.319641939984654,1.9449418298910903,0.5993600555392831,0.271476128906604,0.6907626020877504,8.0,2.9384635794858367,22758.92751,10.03271276542526,1.0,0.271476128906604,No,
Vietnam,19548,0.0,0.8187104330110639,0.8187104330110639,68.95401531967717,0.065466435914444,0.9999832932361208,0.1343987220120462,0.0303000740168476,0.2949749377463161,10.999696897826984,3.7659504768253,0.9269816965410078,0.2859916875459287,0.7885174387947842,4.0,1.9910002577144503,16361.84118,9.702707145389203,1.0,0.2859916875459287,No,
India,15008,0.0,0.8343500832382004,0.8343500832382004,53.6702460783421,0.0373790232410648,1.0,0.0365170632557793,0.0306648503784298,0.2878679402840186,11.150377087891632,1.859243508930871,0.5779500191108041,0.2869738430171388,0.6986034547650467,7.0,2.6994881101470662,17869.16426,9.79083183929262,1.0,0.2869738430171388,No,
Philippines,14297,0.0,0.8289552486550429,0.8289552486550429,44.2904998052848,0.0320503482653235,1.0,0.0278523969934763,0.0269221264165361,0.2766337112224913,11.341964042007271,1.8505620844075232,0.5709652459187717,0.2766399596098817,0.689155548960549,7.0,2.702970370589442,19267.20864,9.866159895700521,1.0,0.2766399596098817,No,
Germany,7590,0.0,0.839023451769916,0.839023451769916,57.58302803204747,0.0438511134922817,0.9999870583734078,0.0382543135230593,0.0373162595105467,0.3043664630978417,11.2550615741519,1.7203330894820636,0.5353065086895178,0.3041060888709288,0.6842560722552518,5.0,2.3769853652370787,118272.7394,11.680748587232777,1.0,0.3041060888709288,No,
Norway,7492,0.0,0.84758990913932,0.84758990913932,56.027341071379176,0.0418118251179887,0.956421201842505,0.0266836442374779,0.0365285739479102,0.3022048755023662,11.163321795425569,1.6762727194341118,0.5122061639771497,0.3021457962284797,0.6694236938625904,5.0,2.353497002510472,167818.6197,12.030639030506432,1.0,0.3021457962284797,No,
Netherlands,5976,0.0022380471010894,0.7923387137682868,0.7901006666671974,48.35428533663842,0.0375559495345496,0.999886051385472,0.0282998614418968,0.0322452223099306,0.2910652186102854,9.079762960942732,1.7651342958231226,0.5423891941933519,0.29117291329261,0.6685967103575747,7.0,2.679310636910937,124223.1687,11.729834974562705,1.0,0.29117291329261,No,
Sweden,4628,0.0,0.3964782871451759,0.3964782871451759,57.71915851658409,0.0442337926470953,0.6152483794630204,0.0251972951679789,0.038648886832493,0.3072438140836834,9.398484180540894,1.7141722759764888,0.5224483674747445,0.3073861222115287,0.6759122818603287,5.0,2.3419243619446517,118583.0747,11.68336904625561,1.0,0.3073861222115287,No,
France,3876,0.0,0.7755693790822442,0.7755693790822442,56.94527358173773,0.0426082008792618,0.9154480077609708,0.0283561330053679,0.037198858690546,0.3036392003243765,10.486932334361883,1.6898056770979517,0.5173520506008872,0.3038149559246473,0.6719110032243191,6.0,2.588574601220698,124775.7695,11.734273561419576,1.0,0.3038149559246473,No,
